fHdU-gzkl-I	295	297
_LzE_yWxdqo	548	551
kdnoxh8vjLo	1255	1349
760xRU26YNM	391	413
ZF6ILkIzyFo	324	325
d0oK0XipfTU	273	276
tP0MvwnQr3U	1801	1810
rEx-A26tJ58	48	48
WJojnQkITtg	1238	1325
tfCTOaou8IU	84	84
t4-Vf6L63Js	4185	4635
mjtTXlIYnbw	87	90
Fw8ZJCRK-sY	289	290
D-Im2mB8btQ	1103	1137
JrrHWYu81iI	187	189
-EnO5IHKDmE	154	159
JzTsOwl1nJQ	506	517
bFFxJS9Qjnw	617	673
ETmC5qZIQX8	1338	1400
LJenGtkGLeY	1285	1291
xQwQojn9Dcw	223	233
vDHHdq6Cvd0	761	769
v-PP9dk4DDg	57	57
nT3e7zwZJsU	1609	1625
cDV5sVNDDck	10	10
Q2UIgJfTBOU	887	889
rlt4IQQITlY	115	115
oAyRl0bWRFY	284	285
sQCof2oeUbA	651	653
kB12Q0NU7rA	265	292
9cWTQPctB_M	317	319
VMbFg7z7VpI	37	38
GmPWPuZp1sA	153	197
gRl0LJyG92Q	356	433
R3GjmkuWuuQ	697	709
nVeM3AOY2hM	1119	1246
KAyvp4FTFUQ	245	245
bzuDEtAjBPQ	50	51
pz14QTJrito	406	413
kA81LzzdDGw	4503	4998
7zq34_ZGsqY	415	424
IajEJAOpbzI	122	123
BH1XO-lbgw4	551	551
Q0ROOgIWc04	1943	1976
1M9A2LwmCYo	286	289
CA7_BMEJz3U	235	236
FIBaJilCGL0	457	456
m9gUuGqHsFs	1477	1511
F0fMoqY9qI0	5975	5994
NbH10unWiV8	484	499
cQFin1k1hQ4	144	144
_-UT5mrGtb4	208	211
rJmFVWGkgxA	548	550
GxkcwtT4bh0	1900	1901
MFexmKGDr08	654	666
MFJXVifOwJM	395	398
jeVqPpWlPxg	63171	65751
44eiT--RN6U	503	528
pqvwYlaefP8	576	700
UdUL92O17kE	725	748
iH8mWNKM8xU	3280	3915
d8jHBC7KUKw	98	103
cNVgMk2oLQ4	1668	1686
Ug-xUfLIivE	20	20
FtYkJe9w4eo	424	425
7ML5HuZDtw8	452	451
FXg1DGfgIq4	1355	1357
G_sXw-9s83Y	542	558
LwLaJbNOqYU	7955	8442
QTdaJHXS8rQ	296	302
tw0gG3NV9YE	245	249
TyAmmAA7hQc	368	375
1yuTJMFGxEw	54510	55664
0gAfB8YGQlQ	248	248
may0wSpC5X0	434	472
yLXKqhKaQjc	25	25
ZfQgia8y85g	244	245
9N0pRm_atEI	403	408
R5E_DcitNBI	591	597
DmQ4Dqxs0HI	7349	7432
4E5iJbK1-Lw	445	455
MOifIuOhBiA	5622	5683
T-phq7QKN_I	110	112
1D-H_7W6pZs	2289	2294
4vbDFu0PUew	58742	59713
yq6_Z7fi0q4	1050	1123
SGMxo7cRi24	754	779
FBVrdMAnZpM	391	392
RXF9oupPE_E	687	694
jCcdH4imZ8o	419	424
DgCTlhAqGjQ	263	265
enZxKJnMzRA	3069	3187
3PXENu6PvkQ	166	170
rJYPadEC_PM	160	160
oSwZ_BckDvc	19179	19574
ujjflEi6lV4	833	857
_83AOaZ3Iyg	3254	3341
bFgRGA8rjoU	23	23
OEOEX_ExDnM	353	354
hfClU7lZyQA	287	295
XynFyyAX1f8	284	302
YWFkjaa8yfE	715	714
c0wUKCekI34	3244	3293
IeW67q_B1KI	1157	1214
4PjL4x4k-zI	159	161
r1ls5jQrcw0	84	111
ZQBefPPcN_4	1751	1772
HzLKWOkPhgQ	1169	1173
p5vPT_vmV3o	991	993
-k9hMjhZbgc	76	79
GwBNFNO3GcA	119	122
4Aav3Of0p0o	99	99
2qiL-qMdMl4	162	164
Tvva9IhMWfM	19177	19730
tvJwv-6oNOQ	6660	6983
nRDRABVR3y4	303	304
WfmQU5xE-Ss	546	677
nkkc0IRQoC8	450	492
7-c3PFsrnVE	252	254
Yx3K3g4CtoQ	12181	12474
SGqPvHBsug8	519	528
lzqDEe4AZ-A	None	None
kJN5RDgksxA	284	287
iDiNeoOtR84	885	891
zX63QzrGNv4	788	817
4BsA43HJtU4	1170	1178
_TrYTV3KMls	2381	2445
xNgxUVpV1hA	1454	1524
jZJHGIrq25w	136	138
OKikGDmonKU	466	486
gMtbVzF6tFE	416	416
DoSUAqYmobY	586	586
lyJqXb8Nj-I	1830	1883
bhBNahf_b6o	164	166
n1khwOk5dN8	15738	15878
majXdhyhh0A	1145	1147
7SVTUhkc7Hs	340	364
OJ2B4Fb7xQQ	6926	7165
25_ngAqZEp0	3036	3068
dGptOlDUw1o	1540	1556
xzqGVmY18MA	515	517
tuweKNR7WY0	158	159
4-pdqDTaYyo	335	353
qR1zxfV9e18	355	357
ex0HPagzuvs	243	249
q2cGvvdsmoU	91	90
9Odjk_W8DZI	624	630
HgdMgh0RXm0	1236	1510
13gZ93TkXZA	2859	2902
rQ_IL-5haUw	258	265
xN08oBm3-OU	948	957
zdBthc6fCk4	3811	3852
Z-Dvgq85x3Q	640	645
8dJyRm2jJ-U	337396	340403
lqA85f4oWtU	266	268
M1az5DjO_kU	2083	2105
RfV3PM4PR_8	677	677
dO8G4kMhMvE	43038	43434
2e5jP5hOqeE	2	2
-wnvU4qAnM0	10851	10850
g0EqOikZsJY	240	269
nwduENqvb14	1962	1980
3GDG1pqiKNw	102	85
DLvQMk7KZXk	315	316
OtDC2VYOsyk	59	68
BttjSmLiv4o	11182	11205
8FuNrCc8ggM	1033	1049
BiFIvEGnMOw	363	367
zRRulQ54K1I	637	668
zVFaFn_by4k	301	353
E7lcnNjlmfo	279	312
7OPg-ksxZ4Y	11171	11474
bMpcxMYZHDo	2559	2567
tlKpIcN1RQg	1766	1769
4Uz2LBWhItk	48	48
sjXm6eZyvv8	305	340
c_Zvc1-6IVc	872	887
3Yh_6_zItPU	16416	17128
pTWvJMCrvYg	633	641
ONj9cvHCado	None	None
orQmcFszdyQ	2700	2738
xWbLiVHyQEQ	26	26
rmpTkRnvMyM	5354	5367
DYb00-Kgx2w	235	251
1MNLuf5Zrsc	656	665
c88YqsUcioo	371	299
cgCRWdSFfkY	379	381
il9tQBC9Rdo	16	16
S9AU_xPmg-E	235	235
qmW-4x95vqY	3981	3990
ijS_orLb6VU	5284	5329
uLkJ4UosFgA	719	724
NtmnxwriCjk	138	143
NBLoY4QWsd8	136	136
FJPLXnN5tV4	12321	12326
F4xMbd9_Ips	2836	2841
6N22wYwItDs	1624	1787
7ph2lY6lMR8	210	211
6IEW4co4MIE	540	581
KF5j9lNiJM4	321	336
