i0O86g520cs	1221	1215
cXW7M2TQvQ0	1699	1701
YC6fW0qqDUk	0	0
uynLFuuFBps	65	65
a_0PSZ2S_yw	12367	12467
lnr1KCWf-J4	58	58
n43oZSY7df0	10383	10416
aCZ6aLuyTwM	49	54
GsPk03_TqMc	None	None
FcmUNlgld74	11489	11563
acMC7bTVcY8	20824	21630
QO7e_RiMVQg	22520	22564
YpQ5DEMqoW0	544	550
ioHy9bZDLhg	298	301
v8MKkbrfL-c	5049	5053
bc593mbuTTc	10171	10176
IM-x1VrAL-c	1551	1565
z2JmKR_STSw	29969	29977
s5vuXYNQehA	774	780
DDY6KjQCMoQ	5639	5688
zKYqM2ADpz8	2822	2825
IycyBFrJXXg	970	965
y1RNQcFySWc	83	83
oI_X2cMHNe0	14484	14680
TkTaadb9GmM	10502	10521
48s6RGU1dr0	6601	6854
yOK-Vy8J4NM	2966	2981
xBpUcJKYkSk	2608	2613
VH0sc3HtAq4	7258	7365
DmKpePzn5-c	90142	90230
4Uo3_IuRR5E	502	514
efFQ02rvSiA	1813	2204
cBzlNT9bU4M	130	131
5Ofpo0Jj62c	3736	3753
tWIHC4pW3jc	210	211
P6Ps7MYB2bI	529	552
d_cwY5KqwYw	853	857
GZifN_BacG0	1571	1578
apPxQOfh0ek	5925	5944
tgB1wUcmbbw	66760	66799
X6ePJCYeEn0	78	81
uFDkjbD4pZs	2316	2325
PKMaOgCZU_U	1349	1372
C2rJZd5YQJU	8576	8602
F0fMoqY9qI0	5975	5994
UeqIVJJnwCU	208	214
rpr9ltx8q28	71	72
T79ZSCQ5WEc	4243	4313
HmP_wGYw1_g	12287	12442
8_BLh6MXpN8	37	37
Nus7MfF2ytw	3407	3468
uGzDKU7gxho	3490	3545
sVKlJ5M2kBY	1218	1237
y7RxSfivDnE	73	72
AcDGIkDGY2c	564	571
VcHMZ7LdMO8	63	63
jeVqPpWlPxg	63151	65746
-KKBtdYW9Uc	710	731
R5QpUh6cYO8	6531	6559
ktwOZXFYw0Y	3748	3790
jLRm8wP6iCE	1074	1078
ovZw_z2s9Bc	944	956
iH8mWNKM8xU	3284	3934
GS-666L0VLE	12120	12284
dEjA3uw5s3I	837	846
1meYHqpovJc	61	60
UMnk3n6QGmA	1291	1294
ppS8kgyoU80	2042	2050
QlZjtudjVD0	4599	4600
zPOYkJsrewU	7159	7217
cUbzWjNqtmo	6053	6356
RX8b4H_wEEo	2331	2394
DBjAIdTZrqQ	75	76
DmQ4Dqxs0HI	7349	7428
Lk8pjx8KpVQ	167	170
ZyNCY8IW7oI	291	294
XwGjdaboKzo	563	566
L-A7p6s-1Ns	3409	3420
4vbDFu0PUew	58735	59725
_FlXe7GmBrE	850	868
MvDMMiVC8UE	127	173
udTOGzb9FHs	2129	2138
bTdxa8uOzls	1627	1650
x-e-Erg5irA	3950	4416
QGae78sWVSw	13792	14804
BdSKimOBm6k	29	29
BwGh2vCm8qk	47	48
8JbBzQBa9D4	666	668
kJQ3FkvUB20	5292	5301
pRSkhCc3Hkk	933	942
mkH7rVb6V68	10857	10864
oSwZ_BckDvc	19178	19573
DKToNIqOJyw	2124	2145
c0wUKCekI34	3244	3293
I6o32fBPqMY	631	707
K463NayEBCk	28	28
Z_MvkyuOJgk	13918	14027
7iFjVFF4gNo	95	100
79utzs9G8ng	51	52
nLhes14fUKg	1115	1116
MJyrDxtU5ds	27	27
Ikrqv6M_W0Q	170	170
H5v3kku4y6Q	142630	142825
IV3dnLzthDA	32447	32618
GBxoH5XxH2Y	None	None
5vbvwTTQ6GA	15205	15206
5eCg1Def1ik	1164	1180
PzxxYd6fsr0	211	212
8uiUz_IUkpo	7907	8134
v3rJ1DGhbIM	154	161
YRNXEcUIsaU	2546	2553
zjIU9KOAgRA	206	206
iq_6Z1ZIA4k	1855	1904
pQuk3t2aeBo	5917	5947
G8O1wHFd3uM	6516	6671
vjhbxxTYkpw	3846	4329
pirYs7L4xog	4597	4646
Yx3K3g4CtoQ	12178	12471
lb2mJhPusRM	255	255
6kolTgj7uQc	1265	1274
hibTeDRLhCc	633	699
VGmTO5DRxII	25703	25795
6NdxqonzexQ	81	81
lyJqXb8Nj-I	1830	1883
n1khwOk5dN8	15738	15878
SXGKt-q263w	1594	1598
JhA9PFyGwrw	125	125
ndiadyS1L94	2460	2480
WkgHkrM9fo0	249813	250068
9kb5cuLK4n0	26930	29248
2YvCWCrssw0	45	45
YhQaXTMLXPs	917	935
36ZdwrpEMCg	49	49
4I25nV9hXGA	46408	46748
wYdqohteanI	2357	2469
c0AOEQAvZWk	14009	14012
0Dz8SebIq3s	2229	2230
ep57Nj9eWmU	15570	15584
heayyMyhSGU	1108	1136
_iksbUH1aMg	7562	7574
342ILHWUonY	1150	1152
ZXtpmM0NDGY	5510	5538
zdBthc6fCk4	3811	3852
dUC7TBmzrL4	6713	6753
-Nm3bQ-uMhg	931	932
8dJyRm2jJ-U	337376	340391
nYFDHftXido	8919	8955
j1AuFXa_g0o	4996	5275
YhxOUeZknN8	186	187
qen2szBZn7w	39	40
2n5GKLdrTfk	1794	1826
dXqPagAcr64	1299	1302
z4WblARaDGw	4811	4818
XoFDIIyhPqQ	693	695
7SoG8bKN8vA	2751	2763
qa2-wpVZt2E	10090	10116
G3HaDp48kks	104	105
Ghbi0we-mcE	271	272
V3C4pWwDqps	34489	34513
_iz5_DuY_II	9178	9433
bJwdkYKF5LM	464	471
Vnk8NZ0sQbE	5864	5933
qB9ZC-mbK8g	188025	189967
uN39K9ctJuU	187	194
7OPg-ksxZ4Y	11173	11476
EUcvdGfGEj0	12697	12771
WnJipPJ2frY	108	112
wpV7OXr7JYo	12854	12984
3Yh_6_zItPU	16418	17128
2WH2shuw46M	210	216
D7WjpZy-0oE	2185	2193
a3ljcLjvMR4	160	190
4H66pDhczzw	15462	15490
zVZrLXP_p2g	1723	1766
lm-PTGpQVO0	596	599
tCOAY406yzk	59	59
g9g9Y3BgYMQ	16589	16818
ONj9cvHCado	None	None
ItZ4SlxpOiI	1429	1483
LTjRgoqATBE	5785	5838
HhBrKaLtiCI	26	26
3PHhl2pa3jo	8939	8942
hMiNsiK1fGk	0	0
L_1LKg9UnCk	9864	9962
v-QnXwVuhwU	416	416
PJkTt9rxLtQ	2307	2308
elPuqdCo30I	4477	4506
273pasBKH18	7604	7651
2cCJazaUlwU	771	789
7EZaPUtbYVg	302	325
wsP3uDGLBFg	2282	2295
-_EVfrXqkEo	9268	9269
oTw8AECmUNA	24185	24268
LL24xq7mVJo	152	164
hfwDcaRyHqg	26	26
7_qSIp-MmQU	6674	6682
rr0NeIWItW0	5907	5919
6N22wYwItDs	1624	1785
ksgYjbUPFFg	135	135
DwlRoL_FKsM	897	897
